Nome,Cervejaria,Grupo,Estilo,Alcool,Ativa,Sazonal,Minima,Maxima,Copo,Geral,Aroma,Aparencia,Sabor,Sensacao,Conjunto,Votos
AC/DC (acdc),Karlsberg Brauerei,CarlsbergImportadoraBS Maui,German Pilsner,5,SIM,Comemorativa,5,7, Pilsner,3,5,3,12,3,6,64
Aecht Schlenkerla Rauchbier Märzen,Brauerei Heller-TrumImportadoraStuttgartEstiloRauchbier  Álcool (%)5.1% ABVIBU30AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal Caneca PintVisite o website,NA,Rauchbier,5.1,SIM,Não é sazonal,30,5, Caneca Pint,3.7,8,4,15,4,7,184
Aecht Schlenkerla Rauchbier Urbock,Brauerei Heller-TrumImportadoraStuttgartEstiloRauchbier  Álcool (%)6.5% ABVIBU40AtivaSIMSazonalOktoberfestTemperatura8-12 °C Copo ideal PintVisite o website,NA,Rauchbier,6.5,SIM,Oktoberfest,40,8, Pint,3.9,8,4,15,4,8,29
Aecht Schlenkerla Rauchbier Weizen,Brauerei Heller-TrumImportadoraStuttgartEstiloRauchbier  Álcool (%)5.2% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Visite o website,NA,Rauchbier,5.2,SIM,Não é sazonal,5,7,NA,3.7,7,4,15,4,7,88
Ayinger Brauweisse,AyingerImportadoraInterfoodEstiloGerman Weizen  Álcool (%)5.1% ABVIngredientesÁgua,Malte de cevada,Malte de trigo,Lúpulo e Levedura AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.1,SIM,Não é sazonal,5,7, Weizen,3.8,7,4,15,4,8,33
Ayinger Celebrator,AyingerEstiloDoppelbock  Álcool (%)6.7% ABVAtivaSIMSazonalInvernoTemperatura5-7 °C Copo ideal TulipaVisite o website,NA,Doppelbock,6.7,SIM,Inverno,5,7, Tulipa,4.2,8,4,17,4,8,69
Ayinger Urweisse,AyingerEstiloGerman Dunkelweizen  Álcool (%)5.8% ABVAtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Dunkelweizen,5.8,SIM,Não é sazonal,5,7, Weizen,3.8,7,4,15,4,8,39
Beck's Pilsner,Beck & Co,Anheuser-InBev,Premium American Lager,4.8,SIM,Não é sazonal,0,4, Pilsner Caneca,2.8,5,3,11,3,6,128
Benediktiner Weissbier,Benediktiner WeißbräuEstiloGerman Weizen  Álcool (%)5.4% ABVIBU13AtivaSIMSazonalNão é sazonalTemperatura5-7 °C Copo ideal WeizenVisite o website,NA,German Weizen,5.4,SIM,Não é sazonal,13,5, Weizen,3.5,7,4,14,3,7,111
Bitburger Premium Pils,Bitburger Brauerei Th. Simon,Bitburger,German Pilsner,NA,SIM,Não é sazonal,4.8,0, Pilsner,2.5,4,3,10,3,5,184
